campaign_id,campaign_name,rank,intent_id,intent_name,weight,rationale
CAMP_VALENTINES,Valentine’s Day,1,IN_GSO_01,Thoughtful & Personalized Gifts,0.1428,The brief explicitly mentions 'curated gifting' and 'date-night bundles' as central to celebrating romance and affection.
CAMP_VALENTINES,Valentine’s Day,2,IN_BG_01,Cosmetics & Personal Style,0.1286,"'Fragrances' are specifically listed as a key product feature, directly aligning with enhancing personal style and beauty."
CAMP_VALENTINES,Valentine’s Day,3,IN_WR_01,Personal Relaxation & Comfort,0.1286,"'Self-care sets' and 'self-love moments' are highlighted, indicating a focus on items that promote relaxation and well-being."
CAMP_VALENTINES,Valentine’s Day,4,IN_KDE_01,Cooking & Food Preparation,0.1143,"'Dinner-at-home kits' directly involve food preparation, catering to couples looking for a romantic meal experience."
CAMP_VALENTINES,Valentine’s Day,5,IN_KDE_02,Dining & Serveware,0.1143,"The inclusion of 'dinner-at-home kits' suggests a focus on the dining experience and presentation, making serveware relevant."
CAMP_VALENTINES,Valentine’s Day,6,IN_HDA_01,Enhancing Home Aesthetics,0.1,"'Candles' are mentioned as part of the bundles, contributing to creating a romantic atmosphere and beautifying living spaces."
CAMP_VALENTINES,Valentine’s Day,7,IN_PCH_01,Daily Hygiene & Grooming,0.0857,"'Self-care sets' often include products for personal cleanliness and grooming, supporting daily routines."
CAMP_VALENTINES,Valentine’s Day,8,IN_PEP_01,Event Hosting & Supplies,0.0857,'Date-night bundles' and the theme of celebrating romance align with products for enhancing special events and intimate gatherings.
CAMP_VALENTINES,Valentine’s Day,9,IN_FA_02,Personal Accessories & Adornment,0.0571,"As a gifting occasion, personal accessories can be thoughtful presents to complement outfits or enhance personal style."
CAMP_VALENTINES,Valentine’s Day,10,IN_FA_01,Apparel & Clothing,0.0429,"Clothing items could be considered as gifts or for dressing up for a 'date-night', aligning with personal expression."
CAMP_MOTHERSDAY,Mother’s Day,1,IN_GSO_01,Thoughtful & Personalized Gifts,0.1562,"The brief emphasizes 'gratitude-driven gifting' and 'heartfelt gift sets' for moms and parents, making this intent highly relevant."
CAMP_MOTHERSDAY,Mother’s Day,2,IN_WR_01,Personal Relaxation & Comfort,0.1406,"'Comfort-forward home items' and 'wellness essentials' are key components, directly addressing the desire for relaxation and well-being."
CAMP_MOTHERSDAY,Mother’s Day,3,IN_PCH_01,Daily Hygiene & Grooming,0.1406,"'Premium personal care' is a central theme, indicating a focus on products for maintaining personal cleanliness and self-care routines."
CAMP_MOTHERSDAY,Mother’s Day,4,IN_HDA_01,Enhancing Home Aesthetics,0.125,'Comfort-forward home items' often include decor and elements that beautify living spaces and create a warm atmosphere.
CAMP_MOTHERSDAY,Mother’s Day,5,IN_BG_01,Cosmetics & Personal Style,0.1094,"'Premium personal care' can extend to beauty products that enhance appearance and personal style, making this a relevant gifting category."
CAMP_MOTHERSDAY,Mother’s Day,6,IN_KDE_02,Dining & Serveware,0.0938,"'Comfort-forward home items' could include elegant dining or serveware, enhancing meal presentation and home entertaining for moms."
CAMP_MOTHERSDAY,Mother’s Day,7,IN_HOS_01,Efficient Home Organization,0.0781,"Items that contribute to an organized and tidy home can enhance overall comfort and well-being, aligning with 'comfort-forward home items'."
